FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR,AverageDraftPositionIDP,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB,is_drafted,draft_order,my_team
23304,23304,Cade York,CLE,K,779.5,548.0,5.0,195.7,167.1,0,0,,,,,0,,False
HOU,13,Houston Texans,HOU,DEF,626.3,524.2,7.0,190.6,166.8,0,0,,,,,0,,False
JAX,52,Jacksonville Jaguars,JAX,DEF,413.6,314.9,9.0,236.6,166.8,0,0,,,292.7,,0,,False
DEN,49,Denver Broncos,DEN,DEF,379.5,318.3,9.0,170.2,166.8,3,0,,,,233.3,0,,False
NYG,75,New York Giants,NYG,DEF,541.2,422.1,13.0,180.4,165.1,0,0,,,,,0,,False
17986,17986,Tyler Boyd,CIN,WR,231.5,246.8,7.0,185.7,165.1,6,9,,,236.9,223.6,0,,False
20033,20033,Jason Sanders,MIA,K,425.5,396.6,10.0,209.3,164.8,6,6,,,296.5,268.4,0,,False
18478,18478,Wil Lutz,NO,K,578.7,616.1,11.0,187.2,164.4,0,0,,,,,0,,False
20941,20941,Devin Singletary,HOU,RB,228.1,236.6,7.0,238.1,164.3,12,12,,,,195.0,0,,False
22614,22614,Kadarius Toney,KC,WR,173.6,178.7,10.0,70.3,164.1,12,12,,,148.9,194.5,0,,False
CIN,7,Cincinnati Bengals,CIN,DEF,417.0,365.9,7.0,187.2,163.4,3,0,,,,,0,,False
20145,20145,Allen Lazard,NYJ,WR,214.5,207.6,7.0,195.4,162.6,6,6,,,276.1,211.6,0,,False
16191,16191,Chris Boswell,PIT,K,658.7,481.7,6.0,156.6,162.4,6,6,,,,,0,,False
19565,19565,Younghoe Koo,ATL,K,365.9,323.4,11.0,243.4,162.2,6,6,,,293.6,256.2,0,,False
CAR,5,Carolina Panthers,CAR,DEF,571.9,449.3,7.0,177.0,161.7,0,0,,,,,0,,False
LAR,32,Los Angeles Rams,LAR,DEF,362.5,425.5,10.0,173.6,161.7,0,0,,,,264.0,0,,False
TEN,34,Tennessee Titans,TEN,DEF,653.6,476.6,7.0,165.1,161.7,0,0,,,,,0,,False
10333,10333,Graham Gano,NYG,K,430.6,369.3,13.0,229.8,160.8,3,3,,,,265.9,0,,False
20876,20876,Jakobi Meyers,LV,WR,209.3,223.0,13.0,192.8,159.9,6,12,,,,179.7,0,,False
24371,24371,Anders Carlson,GB,K,794.8,713.1,6.0,0.0,159.3,0,0,,,,,0,,False
21756,21756,Nico Collins,HOU,WR,240.0,245.1,7.0,102.3,159.1,6,9,,,219.6,224.0,0,,False
22592,22592,Elijah Moore,CLE,WR,194.0,200.8,5.0,87.0,157.8,6,6,,,144.8,188.9,0,,False
20769,20769,Matt Gay,IND,K,401.7,376.1,11.0,219.6,157.6,3,3,,,,259.7,0,,False
24179,24179,De'Von Achane,MIA,RB,223.0,194.0,10.0,0.0,157.6,12,9,,21.6,247.8,235.6,0,,False
19816,19816,DJ Chark Jr.,CAR,WR,297.8,297.8,7.0,116.1,157.5,6,3,,,,,0,,False
22507,22507,Pat Freiermuth,PIT,TE,151.5,158.3,6.0,145.0,156.9,15,17,,,120.5,155.2,0,,False
20149,20149,Eddy Piñeiro,CAR,K,595.7,512.3,7.0,226.4,156.4,3,3,,,,,0,,False
22623,22623,Rashod Bateman,BAL,WR,188.9,224.7,13.0,65.5,155.8,6,6,,,130.5,161.2,0,,False
16301,16301,Cairo Santos,CHI,K,830.6,704.6,13.0,166.8,155.2,0,0,,,,,0,,False
22626,22626,Rondale Moore,ARI,WR,236.6,241.7,14.0,79.8,155.2,3,12,,,198.8,217.3,0,,False
23652,23652,Caleb Shudak,TEN,K,1143.7,622.9,7.0,17.0,155.1,0,0,,,,,0,,False
18876,18876,David Njoku,CLE,TE,168.5,166.8,5.0,143.0,153.5,15,17,,,143.0,176.0,0,,False
18912,18912,Evan Engram,JAX,TE,146.4,148.1,9.0,176.8,153.4,15,17,,,167.6,180.2,0,,False
15534,15534,Adam Thielen,CAR,WR,226.4,209.3,7.0,187.2,152.9,3,6,,,263.8,212.8,0,,False
23167,23167,Romeo Doubs,GB,WR,260.4,258.7,6.0,101.4,152.6,3,6,,,232.8,251.6,0,,False
21691,21691,Chuba Hubbard,CAR,RB,280.8,320.0,7.0,125.4,152.1,12,9,,,265.5,264.0,0,,False
19867,19867,Michael Gallup,DAL,WR,282.5,280.8,7.0,113.0,152.1,3,3,,,,238.8,0,,False
16389,16389,Odell Beckham Jr.,BAL,WR,204.2,185.5,13.0,144.8,151.9,6,6,,,,,0,,False
23479,23479,Jaylen Warren,PIT,RB,262.1,251.9,6.0,111.1,150.7,12,9,,,290.2,251.9,0,,False
549,549,Matt Prater,ARI,K,503.8,394.9,14.0,158.3,150.6,0,0,,,,273.3,0,,False
23168,23168,Skyy Moore,KC,WR,233.2,214.5,10.0,36.4,150.6,6,6,,,166.6,215.0,0,,False
18926,18926,Zay Jones,JAX,WR,241.7,262.1,9.0,197.6,150.3,3,6,,,248.2,227.9,0,,False
ARI,1,Arizona Cardinals,ARI,DEF,765.9,502.1,14.0,171.9,149.8,0,0,,,,,0,,False
21739,21739,Van Jefferson,LAR,WR,359.1,398.3,10.0,93.4,148.7,3,0,,,,,0,,False
18215,18215,Ka'imi Fairbairn,HOU,K,1116.5,674.0,7.0,209.3,148.1,0,0,,,,,0,,False
18957,18957,D'Onta Foreman,CHI,RB,195.7,231.5,13.0,214.5,148.1,14,6,,,211.6,220.9,0,,False
16510,16510,Jerick McKinnon,KC,RB,229.8,199.1,10.0,238.8,147.6,9,12,,,251.2,211.4,0,,False
19976,19976,Marquez Valdes-Scantling,KC,WR,338.7,350.6,10.0,136.8,146.7,6,3,,,,265.5,0,,False
18928,18928,Curtis Samuel,WAS,WR,360.8,388.1,14.0,191.1,145.6,3,0,,,,274.0,0,,False
23161,23161,Jonathan Mingo,CAR,WR,301.3,301.3,7.0,0.0,143.3,3,0,,,,,0,,False
CHI,38,Chicago Bears,CHI,DEF,616.1,461.2,13.0,97.0,143.0,0,0,,,,,0,,False
21754,21754,Donovan Peoples-Jones,CLE,WR,234.9,282.5,5.0,170.4,142.6,3,0,,,205.1,246.3,0,,False
23234,23234,Jameson Williams,DET,WR,165.1,211.0,9.0,24.0,142.4,12,12,,,78.8,231.3,0,,False
21961,21961,Darnell Mooney,CHI,WR,219.6,250.2,13.0,104.7,141.9,6,3,,,176.3,160.2,0,,False
23310,23310,Greg Dulcich,DEN,TE,217.9,233.2,9.0,90.4,140.7,9,9,,,163.2,239.1,0,,False
21760,21760,Isaiah Hodgins,NYG,WR,330.2,389.8,13.0,107.6,140.1,3,0,,,,,0,,False
16775,16775,DeVante Parker,NE,WR,411.9,439.1,11.0,122.4,139.8,3,3,,,,,0,,False
21714,21714,K.J. Osborn,MIN,WR,274.0,289.3,13.0,162.7,139.3,3,3,,,,267.6,0,,False
23729,23729,Rashid Shaheed,NO,WR,318.3,403.4,11.0,123.4,139.2,3,0,,,,,0,,False
23489,23489,Chigoziem Okonkwo,TEN,TE,216.2,238.3,7.0,111.0,138.5,12,12,,,181.4,227.9,0,,False
19920,19920,Dalton Schultz,HOU,TE,192.3,195.7,7.0,145.9,138.3,14,10,,,186.0,173.9,0,,False
LV,83,Las Vegas Raiders,LV,DEF,495.3,478.3,13.0,124.2,137.9,0,0,,,,,0,,False
